mechanism op latency
DTU-sleep Wakeup 24
DTU-sleep Suspend 12
DTU-sleep Wakeup 25
DTU-sleep Suspend 12
DTU-sleep Wakeup 25
DTU-sleep Suspend 12
DTU-sleep Wakeup 25
DTU-sleep Suspend 12
DTU-sleep Wakeup 34
DTU-sleep Suspend 12
DTU-sleep Wakeup 26
DTU-sleep Suspend 12
DTU-sleep Wakeup 26
DTU-sleep Suspend 12
DTU-sleep Wakeup 11
DTU-sleep Suspend 12
DTU-sleep Wakeup 11
DTU-sleep Suspend 12
DTU-sleep Wakeup 11
DTU-sleep Suspend 12
DTU-sleep Wakeup 11
DTU-sleep Suspend 12
DTU-sleep Wakeup 11
DTU-sleep Suspend 12
DTU-sleep Wakeup 11
DTU-sleep Suspend 12
DTU-sleep Wakeup 11
DTU-sleep Suspend 12
DTU-sleep Wakeup 11
DTU-sleep Suspend 12
DTU-sleep Wakeup 11
DTU-sleep Suspend 12
DTU-sleep Wakeup 11
DTU-sleep Suspend 12
DTU-sleep Wakeup 11
DTU-sleep Suspend 12
DTU-sleep Wakeup 11
DTU-sleep Suspend 12
DTU-sleep Wakeup 11
DTU-sleep Suspend 12
DTU-sleep Wakeup 11
DTU-sleep Suspend 12
DTU-sleep Wakeup 11
DTU-sleep Suspend 12
DTU-sleep Wakeup 11
DTU-sleep Suspend 12
DTU-sleep Wakeup 11
DTU-sleep Suspend 12
DTU-sleep Wakeup 11
DTU-sleep Suspend 12
DTU-sleep Wakeup 11
DTU-sleep Suspend 12
DTU-sleep Wakeup 11
DTU-sleep Suspend 12
DTU-sleep Wakeup 11
DTU-sleep Suspend 12
DTU-sleep Wakeup 11
DTU-sleep Suspend 12
DTU-sleep Wakeup 11
DTU-sleep Suspend 12
DTU-sleep Wakeup 11
DTU-sleep Suspend 12
DTU-sleep Wakeup 11
DTU-sleep Suspend 12
DTU-sleep Wakeup 11
DTU-sleep Suspend 12
DTU-sleep Wakeup 11
DTU-sleep Suspend 12
DTU-sleep Wakeup 11
DTU-sleep Suspend 12
DTU-sleep Wakeup 11
DTU-sleep Suspend 12
DTU-sleep Wakeup 11
DTU-sleep Suspend 12
DTU-sleep Wakeup 11
DTU-sleep Suspend 12
DTU-sleep Wakeup 11
DTU-sleep Suspend 12
DTU-sleep Wakeup 11
DTU-sleep Suspend 12
DTU-sleep Wakeup 11
DTU-sleep Suspend 12
DTU-sleep Wakeup 11
DTU-sleep Suspend 12
DTU-sleep Wakeup 11
DTU-sleep Suspend 12
DTU-sleep Wakeup 11
DTU-sleep Suspend 12
DTU-sleep Wakeup 11
DTU-sleep Suspend 12
DTU-sleep Wakeup 11
DTU-sleep Suspend 12
DTU-sleep Wakeup 11
DTU-sleep Suspend 12
DTU-sleep Wakeup 11
DTU-sleep Suspend 12
DTU-sleep Wakeup 11
DTU-sleep Suspend 12
DTU-sleep Wakeup 11
DTU-sleep Suspend 12
DTU-sleep Wakeup 11
DTU-sleep Suspend 12
DTU-sleep Wakeup 11
DTU-sleep Suspend 12
DTU-sleep Wakeup 11
DTU-sleep Suspend 12
DTU-sleep Wakeup 11
DTU-sleep Suspend 12
DTU-sleep Wakeup 11
DTU-sleep Suspend 12
DTU-sleep Wakeup 11
DTU-sleep Suspend 12
DTU-sleep Wakeup 11
DTU-sleep Suspend 12
DTU-sleep Wakeup 11
DTU-sleep Suspend 12
DTU-sleep Wakeup 11
DTU-sleep Suspend 12
DTU-sleep Wakeup 11
DTU-sleep Suspend 12
DTU-sleep Wakeup 11
DTU-sleep Suspend 12
DTU-sleep Wakeup 11
DTU-sleep Suspend 12
DTU-sleep Wakeup 11
DTU-sleep Suspend 12
DTU-sleep Wakeup 11
DTU-sleep Suspend 12
DTU-sleep Wakeup 11
DTU-sleep Suspend 12
DTU-sleep Wakeup 11
DTU-sleep Suspend 12
DTU-sleep Wakeup 11
DTU-sleep Suspend 12
DTU-sleep Wakeup 11
DTU-sleep Suspend 12
DTU-sleep Wakeup 11
DTU-sleep Suspend 12
DTU-sleep Wakeup 11
DTU-sleep Suspend 12
DTU-sleep Wakeup 11
DTU-sleep Suspend 12
DTU-sleep Wakeup 11
DTU-sleep Suspend 12
DTU-sleep Wakeup 11
DTU-sleep Suspend 12
DTU-sleep Wakeup 11
DTU-sleep Suspend 12
DTU-sleep Wakeup 11
DTU-sleep Suspend 12
DTU-sleep Wakeup 11
DTU-sleep Suspend 12
DTU-sleep Wakeup 11
DTU-sleep Suspend 12
DTU-sleep Wakeup 11
DTU-sleep Suspend 12
DTU-sleep Wakeup 11
DTU-sleep Suspend 12
DTU-sleep Wakeup 11
DTU-sleep Suspend 12
DTU-sleep Wakeup 11
DTU-sleep Suspend 12
DTU-sleep Wakeup 11
DTU-sleep Suspend 12
DTU-sleep Wakeup 11
DTU-sleep Suspend 12
DTU-sleep Wakeup 11
DTU-sleep Suspend 12
DTU-sleep Wakeup 11
DTU-sleep Suspend 12
DTU-sleep Wakeup 11
DTU-sleep Suspend 12
DTU-sleep Wakeup 11
