type clients time stddev
No-prios 1 1.0047 118ns
High 1 1.00509 205ns
No-prios 2 2.00528 284ns
No-prios 2 2.0055 31.609µs
High 2 2.00591 306ns
Low 2 2.00601 165ns
No-prios 3 3.00828 206ns
No-prios 3 3.00815 279ns
No-prios 3 3.00834 247ns
High 3 2.00592 198ns
Low 3 4.0119 1.002914ms
Low 3 4.0118 1.00338ms
No-prios 4 4.01101 254ns
No-prios 4 4.011 212ns
No-prios 4 4.01151 194ns
No-prios 4 4.011637 456ns
High 4 2.00607 264ns
Low 4 6.01847 1.472953ms
Low 4 6.01832 1.473418ms
Low 4 6.018875 1.471963ms
No-prios 5 5.01384 236ns
No-prios 5 5.01392 296ns
No-prios 5 5.01383 287ns
No-prios 5 5.014675 491ns
No-prios 5 5.014513 575ns
High 5 2.00607 273ns
Low 5 8.0247 1.753906ms
Low 5 8.0247 1.752672ms
Low 5 8.02535 1.751963ms
Low 5 8.025325 1.751708ms
No-prios 6 6.01668 198ns
No-prios 6 6.01649 209ns
No-prios 6 6.01687 235ns
No-prios 6 6.018637 465ns
No-prios 6 6.01865 233ns
No-prios 6 6.019275 496ns
High 6 2.0062 289ns
Low 6 10.03084 1.978911ms
Low 6 10.031638 1.978173ms
Low 6 10.03092 1.977916ms
Low 6 10.03045 1.978138ms
Low 6 10.031188 1.976441ms
